time,address,binaryaddress,bank,row,column,delay,command
10360000, 16950784, 00000001000000101010011000000000, 0, 2069, 192, 426250, R
10407500, 85845696, 00000101000111011110011011000000, 0, 10479, 216, 426250, R
10455000, 120700544, 00000111001100011011111010000000, 0, 14733, 976, 426250, R
10502500, 78896704, 00000100101100111101111001000000, 0, 9630, 968, 426250, R
10550000, 1821888, 00000000000110111100110011000000, 0, 222, 408, 426250, R
10597500, 121843712, 00000111010000110011000000000000, 0, 14873, 512, 426250, R
10645000, 92824256, 00000101100010000110001011000000, 0, 11331, 88, 426250, R
10692500, 16124736, 00000000111101100000101101000000, 0, 1968, 360, 426250, R
10740000, 22413312, 00000001010101100000000000000000, 0, 2736, 0, 426250, R
10787500, 106773760, 00000110010111010011110100000000, 0, 13033, 928, 426250, R
10835000, 82343424, 00000100111010000111011000000000, 0, 10051, 704, 426250, R
10882500, 9363328, 00000000100011101101111110000000, 0, 1142, 1008, 426250, R
10930000, 78663232, 00000100101100000100111001000000, 0, 9602, 456, 426250, R
10977500, 44928128, 00000010101011011000110010000000, 0, 5484, 400, 426250, R
11025000, 81015296, 00000100110101000011001000000000, 0, 9889, 576, 426250, R
11072500, 67278592, 00000100000000101001011100000000, 0, 8212, 736, 426250, R
11120000, 91399360, 00000101011100101010010011000000, 0, 11157, 152, 426250, R
11167500, 34358848, 00000010000011000100011001000000, 0, 4194, 200, 426250, R
11215000, 42833280, 00000010100011011001010110000000, 0, 5228, 688, 426250, R
11262500, 132648960, 00000111111010000001000000000000, 0, 16192, 512, 426250, R
11310000, 21545152, 00000001010010001100000011000000, 0, 2630, 24, 426250, R
11357500, 92521152, 00000101100000111100001011000000, 0, 11294, 88, 426250, R
11405000, 92521216, 00000101100000111100001100000000, 0, 11294, 96, 383750, R
11452500, 92520832, 00000101100000111100000110000000, 0, 11294, 48, 341250, R
11500000, 62322944, 00000011101101101111100100000000, 0, 7607, 800, 331250, R
11547500, 31786688, 00000001111001010000011011000000, 0, 3880, 216, 331250, R
