time,address,binaryaddress,bank,row,column,delay,command
382500, 5056, 00000000000000000001001111000000, 0, 0, 632, 43750, R
387500, 5120, 00000000000000000001010000000000, 0, 0, 640, 43750, R
392500, 5184, 00000000000000000001010001000000, 0, 0, 648, 43750, R
397500, 5248, 00000000000000000001010010000000, 0, 0, 656, 43750, R
402500, 5312, 00000000000000000001010011000000, 0, 0, 664, 43750, R
407500, 5376, 00000000000000000001010100000000, 0, 0, 672, 43750, R
412500, 5440, 00000000000000000001010101000000, 0, 0, 680, 43750, R
417500, 5504, 00000000000000000001010110000000, 0, 0, 688, 43750, R
422500, 5568, 00000000000000000001010111000000, 0, 0, 696, 43750, R
427500, 5632, 00000000000000000001011000000000, 0, 0, 704, 43750, R
432500, 5696, 00000000000000000001011001000000, 0, 0, 712, 43750, R
437500, 5760, 00000000000000000001011010000000, 0, 0, 720, 43750, R
442500, 5824, 00000000000000000001011011000000, 0, 0, 728, 43750, R
447500, 5888, 00000000000000000001011100000000, 0, 0, 736, 43750, R
452500, 5952, 00000000000000000001011101000000, 0, 0, 744, 43750, R
457500, 6016, 00000000000000000001011110000000, 0, 0, 752, 43750, R
462500, 6080, 00000000000000000001011111000000, 0, 0, 760, 43750, R
467500, 6144, 00000000000000000001100000000000, 0, 0, 768, 43750, R
472500, 6208, 00000000000000000001100001000000, 0, 0, 776, 43750, R
477500, 6272, 00000000000000000001100010000000, 0, 0, 784, 43750, R
482500, 6336, 00000000000000000001100011000000, 0, 0, 792, 43750, R
492500, 31389504, 00000001110111101111011101000000, 0, 3831, 744, 71250, R
497500, 26084928, 00000001100011100000011001000000, 0, 3184, 200, 113750, R
502500, 54104576, 00000011001110011001001000000000, 0, 6604, 576, 156250, R
507500, 15853568, 00000000111100011110100000000000, 0, 1935, 256, 198750, R
512500, 11629440, 00000000101100010111001110000000, 0, 1419, 624, 241250, R
517500, 118071744, 00000111000010011010000111000000, 0, 14413, 56, 283750, R
522500, 66563648, 00000011111101111010111001000000, 0, 8125, 456, 326250, R
527500, 37517952, 00000010001111000111101010000000, 0, 4579, 848, 368750, R
532500, 57017280, 00000011011001100000001111000000, 0, 6960, 120, 411250, R
565000, 57017344, 00000011011001100000010000000000, 0, 6960, 128, 383750, R
612500, 57017408, 00000011011001100000010001000000, 0, 6960, 136, 341250, R
660000, 57017472, 00000011011001100000010010000000, 0, 6960, 144, 298750, R
707500, 57017536, 00000011011001100000010011000000, 0, 6960, 152, 256250, R
755000, 57017600, 00000011011001100000010100000000, 0, 6960, 160, 213750, R
802500, 57017664, 00000011011001100000010101000000, 0, 6960, 168, 171250, R
850000, 57017728, 00000011011001100000010110000000, 0, 6960, 176, 128750, R
897500, 57017792, 00000011011001100000010111000000, 0, 6960, 184, 86250, R
945000, 57017856, 00000011011001100000011000000000, 0, 6960, 192, 43750, R
950000, 57017920, 00000011011001100000011001000000, 0, 6960, 200, 43750, R
955000, 57017984, 00000011011001100000011010000000, 0, 6960, 208, 43750, R
960000, 57018048, 00000011011001100000011011000000, 0, 6960, 216, 43750, R
965000, 57018112, 00000011011001100000011100000000, 0, 6960, 224, 43750, R
970000, 57018176, 00000011011001100000011101000000, 0, 6960, 232, 43750, R
975000, 57018240, 00000011011001100000011110000000, 0, 6960, 240, 43750, R
980000, 57018304, 00000011011001100000011111000000, 0, 6960, 248, 43750, R
985000, 57018368, 00000011011001100000100000000000, 0, 6960, 256, 43750, R
990000, 57018432, 00000011011001100000100001000000, 0, 6960, 264, 43750, R
995000, 57018496, 00000011011001100000100010000000, 0, 6960, 272, 43750, R
1000000, 57018560, 00000011011001100000100011000000, 0, 6960, 280, 43750, R
1005000, 57018624, 00000011011001100000100100000000, 0, 6960, 288, 43750, R
