address,addressgrowth,column,columngrowth,row,rowgrowth,time,timegrowth,growthlog,delay
64.0,0.017241379310344827,8.0,0.017241379310344827,0.0,0.0,5000.0,0.018018018018018018,-4.016383020752389,43750.0
64.0,0.01694915254237288,8.0,0.01694915254237288,0.0,0.0,5000.0,0.017699115044247787,-4.034240638152395,43750.0
64.0,0.016666666666666666,8.0,0.016666666666666666,0.0,0.0,5000.0,0.017391304347826087,-4.051784947803305,43750.0
64.0,0.01639344262295082,8.0,0.01639344262295082,0.0,0.0,5000.0,0.017094017094017096,-4.069026754237811,43750.0
64.0,0.016129032258064516,8.0,0.016129032258064516,0.0,0.0,5000.0,0.01680672268907563,-4.085976312551584,43750.0
64.0,0.015873015873015872,8.0,0.015873015873015872,0.0,0.0,5000.0,0.01652892561983471,-4.102643365036796,43750.0
64.0,0.015625,8.0,0.015625,0.0,0.0,5000.0,0.016260162601626018,-4.119037174812472,43750.0
64.0,0.015384615384615385,8.0,0.015384615384615385,0.0,0.0,5000.0,0.016,-4.135166556742356,43750.0
64.0,0.015151515151515152,8.0,0.015151515151515152,0.0,0.0,5000.0,0.015748031496062992,-4.151039905898646,43750.0
64.0,0.014925373134328358,8.0,0.014925373134328358,0.0,0.0,5000.0,0.015503875968992248,-4.1666652238017265,43750.0
64.0,0.014705882352941176,8.0,0.014705882352941176,0.0,0.0,5000.0,0.015267175572519083,-4.182050142641206,43750.0
64.0,0.014492753623188406,8.0,0.014492753623188406,0.0,0.0,5000.0,0.015037593984962405,-4.197201947661808,43750.0
64.0,0.014285714285714285,8.0,0.014285714285714285,0.0,0.0,5000.0,0.014814814814814815,-4.212127597878484,43750.0
64.0,0.014084507042253521,8.0,0.014084507042253521,0.0,0.0,5000.0,0.014598540145985401,-4.22683374526818,43750.0
64.0,0.013888888888888888,8.0,0.013888888888888888,0.0,0.0,5000.0,0.014388489208633094,-4.241326752570746,43750.0
64.0,0.0136986301369863,8.0,0.0136986301369863,0.0,0.0,5000.0,0.014184397163120567,-4.255612709818223,43750.0
64.0,0.013513513513513514,8.0,0.013513513513513514,0.0,0.0,5000.0,0.013986013986013986,-4.269697449699962,43750.0
64.0,0.013333333333333334,8.0,0.013333333333333334,0.0,0.0,5000.0,0.013793103448275862,-4.283586561860629,43750.0
64.0,0.013157894736842105,8.0,0.013157894736842105,0.0,0.0,5000.0,0.013605442176870748,-4.297285406218791,43750.0
64.0,0.012987012987012988,8.0,0.012987012987012988,0.0,0.0,5000.0,0.013422818791946308,-4.310799125385514,43750.0
64.0,0.01282051282051282,8.0,0.01282051282051282,0.0,0.0,5000.0,0.013245033112582781,-4.324132656254979,43750.0
64.0,0.012658227848101266,8.0,0.012658227848101266,0.0,0.0,5000.0,0.013071895424836602,-4.33729074083249,43750.0
64.0,0.0125,8.0,0.0125,0.0,0.0,5000.0,0.012903225806451613,-4.350277936359301,43750.0
64.0,0.012345679012345678,8.0,0.012345679012345678,0.0,0.0,5000.0,0.012738853503184714,-4.363098624788362,43750.0
64.0,0.012195121951219513,8.0,0.012195121951219513,0.0,0.0,5000.0,0.012578616352201259,-4.375757021660286,43750.0
64.0,0.012048192771084338,8.0,0.012048192771084338,0.0,0.0,5000.0,0.012422360248447204,-4.388257184424518,43750.0
64.0,0.011904761904761904,8.0,0.011904761904761904,0.0,0.0,5000.0,0.012269938650306749,-4.400603020246817,43750.0
64.0,0.011764705882352941,8.0,0.011764705882352941,0.0,0.0,5000.0,0.012121212121212121,-4.412798293340636,43750.0
64.0,0.011627906976744186,8.0,0.011627906976744186,0.0,0.0,5000.0,0.011976047904191617,-4.42484663185681,43750.0
64.0,0.011494252873563218,8.0,0.011494252873563218,0.0,0.0,5000.0,0.011834319526627219,-4.436751534363128,43750.0
64.0,0.011363636363636364,8.0,0.011363636363636364,0.0,0.0,5000.0,0.011695906432748537,-4.448516375942715,43750.0
64.0,0.011235955056179775,8.0,0.011235955056179775,0.0,0.0,5000.0,0.011560693641618497,-4.460144413937834,43750.0
64.0,0.011111111111111112,8.0,0.011111111111111112,0.0,0.0,5000.0,0.011428571428571429,-4.471638793363569,43750.0
64.0,0.01098901098901099,8.0,0.01098901098901099,0.0,0.0,5000.0,0.011299435028248588,-4.483002552013883,43750.0
64.0,0.010869565217391304,8.0,0.010869565217391304,0.0,0.0,5000.0,0.0111731843575419,-4.4942386252808095,43750.0
64.0,0.010752688172043012,8.0,0.010752688172043012,0.0,0.0,5000.0,0.011049723756906077,-4.505349850705881,43750.0
64.0,0.010638297872340425,8.0,0.010638297872340425,0.0,0.0,5000.0,0.01092896174863388,-4.516338972281476,43750.0
64.0,0.010526315789473684,8.0,0.010526315789473684,0.0,0.0,5000.0,0.010810810810810811,-4.527208644518379,43750.0
64.0,0.010416666666666666,8.0,0.010416666666666666,0.0,0.0,5000.0,0.0106951871657754,-4.537961436294641,43750.0
64.0,0.010309278350515464,8.0,0.010309278350515464,0.0,0.0,5000.0,0.010582010582010581,-4.548599834499697,43750.0
64.0,0.01020408163265306,8.0,0.01020408163265306,0.0,0.0,5000.0,0.010471204188481676,-4.5591262474866845,43750.0
64.0,0.010101010101010102,8.0,0.010101010101010102,0.0,0.0,5000.0,0.010362694300518135,-4.56954300834494,43750.0
-5304576.0,-0.2033578931097682,-544.0,-2.72,-647.0,-0.2032035175879397,5000.0,0.010050251256281407,-4.600157644164547,71250.0
28019648.0,0.5178794488658408,376.0,0.6527777777777778,3420.0,0.5178679588128408,5000.0,0.009950248756218905,-4.61015772749913,113750.0
